model,condition,asr,n,median_mer,ci_lo,ci_hi
cosyvoice3,raw,qwen3,25,0.0349,0.0244,0.0547
voxcpm2,raw,qwen3,25,0.0426,0.0261,0.0547
qwen3tts,raw,qwen3,25,0.0513,0.0250,0.0698
moss,raw,qwen3,25,0.0444,0.0261,0.0789
omnivoice,raw,qwen3,25,0.0455,0.0349,0.0667
chatterbox,raw,qwen3,25,0.0909,0.0316,0.1316
breezyvoice,raw,qwen3,25,0.1778,0.1111,0.3158
cosyvoice3,controlled,qwen3,25,0.0455,0.0263,0.0652
voxcpm2,controlled,qwen3,25,0.0426,0.0217,0.0513
moss,controlled,qwen3,25,0.0652,0.0488,0.0811
omnivoice,controlled,qwen3,25,0.0488,0.0431,0.0938
breezyvoice,controlled,qwen3,25,0.1064,0.0682,0.3111
cosyvoice3,ensub,qwen3,25,0.0400,0.0263,0.0833
voxcpm2,ensub,qwen3,25,0.0400,0.0233,0.0769
qwen3tts,ensub,qwen3,25,0.0549,0.0444,0.0789
moss,ensub,qwen3,25,0.0571,0.0345,0.1053
omnivoice,ensub,qwen3,25,0.0345,0.0233,0.0889
chatterbox,ensub,qwen3,25,0.1143,0.0714,0.1579
breezyvoice,ensub,qwen3,25,0.1111,0.0476,0.2375
cosyvoice3,ensub_ctrl,qwen3,25,0.0444,0.0263,0.0789
voxcpm2,ensub_ctrl,qwen3,25,0.0286,0.0238,0.0526
moss,ensub_ctrl,qwen3,25,0.0789,0.0526,0.0857
omnivoice,ensub_ctrl,qwen3,25,0.0442,0.0238,0.0560
breezyvoice,ensub_ctrl,qwen3,25,0.1389,0.0857,0.2889
cosyvoice3,raw,breeze,25,0.0638,0.0444,0.0781
voxcpm2,raw,breeze,25,0.0652,0.0444,0.0976
qwen3tts,raw,breeze,25,0.0667,0.0513,0.0854
moss,raw,breeze,25,0.0667,0.0556,0.0851
omnivoice,raw,breeze,25,0.0851,0.0556,0.1000
chatterbox,raw,breeze,25,0.1304,0.0667,0.2586
breezyvoice,raw,breeze,25,0.1818,0.1250,0.3478
cosyvoice3,controlled,breeze,25,0.0682,0.0421,0.0811
voxcpm2,controlled,breeze,25,0.0488,0.0349,0.0667
moss,controlled,breeze,25,0.0909,0.0789,0.1250
omnivoice,controlled,breeze,25,0.0737,0.0513,0.0909
breezyvoice,controlled,breeze,25,0.1489,0.1053,0.3111
cosyvoice3,ensub,breeze,25,0.0517,0.0440,0.0789
voxcpm2,ensub,breeze,25,0.0571,0.0286,0.0789
qwen3tts,ensub,breeze,25,0.0571,0.0444,0.0789
moss,ensub,breeze,25,0.0659,0.0431,0.0972
omnivoice,ensub,breeze,25,0.0776,0.0465,0.1250
chatterbox,ensub,breeze,25,0.1143,0.0857,0.1466
breezyvoice,ensub,breeze,25,0.1389,0.0714,0.3500
cosyvoice3,ensub_ctrl,breeze,25,0.0640,0.0345,0.0833
voxcpm2,ensub_ctrl,breeze,25,0.0488,0.0263,0.0694
moss,ensub_ctrl,breeze,25,0.0833,0.0526,0.1053
omnivoice,ensub_ctrl,breeze,25,0.0619,0.0263,0.0960
breezyvoice,ensub_ctrl,breeze,25,0.1944,0.0789,0.3194
